id,project_type,location,funding_amount_cr,prior_experience_years,estimated_duration_months,actual_duration_months,cost_overrun_pct,delay,approval_outcome,issues_found,quality_score,quality_category
232,Education,Sikkim,55.38,0,22.0,25.1,0.0,False,Approved,Budget Miscalculation; Environmental Non-Compliance,9.06,Good
233,Power,Mizoram,10.65,2,27.0,28.1,26.71,False,Approved,Timeline Unrealistic; Technical Flaw; Budget Miscalculation,8.85,Good
234,Health,Tripura,14.04,1,40.0,51.7,46.88,True,Approved,Budget Miscalculation; Technical Flaw; Environmental Non-Compliance,9.68,Good
235,Tourism,Manipur,2.2,3,13.9,16.0,0.0,True,Approved,Environmental Non-Compliance,9.28,Good
236,Tourism,Assam,29.29,0,34.8,46.4,4.24,True,Approved,Environmental Non-Compliance,5.34,Needs Revision
237,Education,Tripura,99.05,1,45.5,59.5,0.86,True,Approved,Timeline Unrealistic,8.92,Good
238,Road,Assam,35.31,3,9.1,11.5,25.84,False,Approved,Timeline Unrealistic,7.75,Good
239,Health,Manipur,43.61,3,31.2,35.5,32.43,True,Revised,Technical Flaw; Budget Miscalculation,8.46,Good
240,Road,Manipur,27.84,3,6.1,8.4,0.0,True,Approved,Budget Miscalculation; Technical Flaw,4.18,Poor
241,Health,Arunachal Pradesh,37.98,5,23.1,22.9,0.0,False,Approved,None,7.89,Good
242,Road,Arunachal Pradesh,1.82,10,19.7,23.8,4.22,False,Revised,Technical Flaw; Environmental Non-Compliance,9.99,Good
243,Tourism,Assam,67.4,1,36.0,47.3,0.0,True,Rejected,Environmental Non-Compliance; Budget Miscalculation,5.62,Needs Revision
244,Power,Tripura,36.13,1,36.8,48.8,50.47,True,Revised,Budget Miscalculation,9.78,Good
245,Tourism,Arunachal Pradesh,51.85,2,27.9,37.9,0.0,True,Approved,None,6.47,Needs Revision
246,Road,Arunachal Pradesh,78.95,5,23.3,24.8,31.9,False,Approved,Technical Flaw; Environmental Non-Compliance,6.91,Needs Revision
247,Tourism,Arunachal Pradesh,3.17,3,30.8,36.4,23.48,True,Approved,Budget Miscalculation; Timeline Unrealistic,6.47,Needs Revision
248,Education,Tripura,52.13,0,13.8,16.6,66.13,False,Approved,None,7.58,Good
249,Education,Sikkim,8.59,0,40.8,44.3,0.0,False,Approved,None,5.43,Needs Revision
250,Education,Assam,8.69,5,27.1,29.9,0.0,False,Revised,Budget Miscalculation; Environmental Non-Compliance,6.68,Needs Revision
251,Education,Sikkim,67.69,5,36.3,39.5,24.47,False,Revised,None,5.31,Needs Revision
252,Road,Nagaland,17.41,1,43.0,45.1,0.0,False,Approved,Budget Miscalculation,5.09,Needs Revision
253,Tourism,Nagaland,22.74,3,30.0,34.1,20.74,False,Approved,Technical Flaw; Budget Miscalculation; Environmental Non-Compliance,5.34,Needs Revision
254,Education,Nagaland,57.97,5,28.4,27.2,0.0,False,Approved,Timeline Unrealistic; Budget Miscalculation; Environmental Non-Compliance,5.53,Needs Revision
255,Road,Manipur,21.23,0,46.0,48.7,45.85,False,Approved,None,8.39,Good
256,Health,Assam,54.03,0,25.5,30.6,15.26,True,Approved,None,6.7,Needs Revision
257,Tourism,Mizoram,41.56,0,39.7,51.8,15.26,True,Approved,None,7.48,Good
258,Power,Arunachal Pradesh,51.82,10,24.2,28.6,27.95,True,Approved,Environmental Non-Compliance; Budget Miscalculation; Timeline Unrealistic,6.48,Needs Revision
259,Health,Manipur,66.02,2,45.0,45.6,41.57,False,Approved,Technical Flaw,4.73,Poor
260,Power,Arunachal Pradesh,78.41,5,20.7,24.3,37.93,True,Rejected,Environmental Non-Compliance; Technical Flaw,9.73,Good
261,Road,Tripura,76.11,2,24.2,27.5,42.63,False,Approved,None,6.7,Needs Revision
262,Road,Tripura,60.38,1,23.8,27.2,38.03,True,Approved,Technical Flaw; Budget Miscalculation; Environmental Non-Compliance,8.26,Good
263,Road,Sikkim,64.04,2,32.7,42.1,13.48,True,Approved,Budget Miscalculation; Technical Flaw; Environmental Non-Compliance,8.29,Good
264,Health,Tripura,76.32,10,39.0,46.4,37.39,True,Approved,Technical Flaw,9.71,Good
265,Health,Tripura,85.95,10,24.0,27.2,0.0,False,Approved,None,8.92,Good
266,Education,Tripura,96.76,2,48.0,52.0,37.41,False,Revised,Budget Miscalculation; Environmental Non-Compliance,6.95,Needs Revision
267,Health,Manipur,36.68,2,23.1,27.8,0.0,True,Approved,Timeline Unrealistic; Budget Miscalculation,8.76,Good
268,Tourism,Arunachal Pradesh,56.78,5,42.3,45.6,29.05,False,Approved,Environmental Non-Compliance,5.66,Needs Revision
269,Tourism,Nagaland,37.78,3,28.2,33.0,0.0,False,Approved,None,7.21,Good
270,Education,Arunachal Pradesh,36.88,10,21.7,24.5,8.37,False,Approved,None,5.12,Needs Revision
271,Health,Assam,18.76,3,7.8,6.2,22.65,False,Approved,None,6.82,Needs Revision
272,Health,Nagaland,91.11,3,26.5,26.5,7.68,False,Revised,Budget Miscalculation,8.67,Good
273,Power,Nagaland,91.65,3,43.0,55.6,32.95,True,Revised,Environmental Non-Compliance; Technical Flaw; Budget Miscalculation,6.18,Needs Revision
274,Tourism,Manipur,3.97,1,35.0,38.5,46.42,False,Approved,Environmental Non-Compliance; Technical Flaw; Budget Miscalculation,6.4,Needs Revision
275,Power,Nagaland,31.3,10,22.2,26.2,0.0,True,Approved,Budget Miscalculation,5.16,Needs Revision
276,Tourism,Mizoram,76.17,3,17.7,20.9,16.31,True,Approved,Timeline Unrealistic; Environmental Non-Compliance,8.42,Good
277,Education,Arunachal Pradesh,81.09,1,20.4,25.9,11.62,True,Approved,Timeline Unrealistic; Budget Miscalculation; Technical Flaw,7.28,Good
278,Tourism,Meghalaya,28.09,10,42.8,54.3,49.21,True,Approved,Timeline Unrealistic,6.22,Needs Revision
279,Health,Tripura,66.76,1,19.2,23.4,63.01,False,Approved,Timeline Unrealistic; Technical Flaw,8.78,Good
280,Health,Nagaland,83.98,0,42.1,53.9,24.62,True,Approved,None,5.47,Needs Revision
281,Road,Meghalaya,49.47,10,15.7,14.6,18.61,False,Approved,Timeline Unrealistic; Technical Flaw; Environmental Non-Compliance,5.56,Needs Revision
282,Power,Tripura,29.29,5,30.2,30.0,18.56,False,Revised,Environmental Non-Compliance; Technical Flaw; Budget Miscalculation,9.22,Good
283,Health,Assam,3.5,10,27.8,30.2,29.45,False,Approved,None,4.93,Poor
284,Education,Assam,30.1,1,45.8,49.3,45.75,False,Approved,None,5.08,Needs Revision
285,Power,Sikkim,60.09,5,38.3,44.2,41.38,True,Approved,Technical Flaw; Environmental Non-Compliance,8.32,Good
286,Health,Sikkim,13.22,3,17.7,21.3,46.42,False,Rejected,Technical Flaw; Environmental Non-Compliance; Timeline Unrealistic,8.41,Good
287,Road,Tripura,28.82,10,35.2,44.2,9.99,True,Approved,None,9.28,Good
288,Power,Nagaland,2.9,2,28.0,31.9,11.72,True,Revised,Environmental Non-Compliance; Budget Miscalculation,5.61,Needs Revision
289,Tourism,Tripura,32.44,1,32.0,42.8,37.97,True,Approved,None,7.42,Good
290,Health,Nagaland,79.65,3,20.3,20.1,0.0,False,Approved,Technical Flaw; Environmental Non-Compliance; Timeline Unrealistic,5.51,Needs Revision
291,Health,Nagaland,7.12,0,16.1,20.4,20.47,True,Revised,Budget Miscalculation; Timeline Unrealistic,8.01,Good
292,Power,Manipur,90.53,5,10.8,14.9,39.21,False,Approved,Technical Flaw; Budget Miscalculation,6.59,Needs Revision
293,Health,Sikkim,30.59,0,24.5,28.5,70.52,False,Revised,None,4.85,Poor
294,Power,Arunachal Pradesh,14.57,10,32.6,37.4,19.51,True,Approved,Budget Miscalculation; Environmental Non-Compliance,4.71,Poor
295,Tourism,Tripura,40.55,0,45.6,58.2,0.0,True,Approved,None,4.76,Poor
296,Education,Assam,89.67,1,37.0,38.8,0.0,False,Approved,Technical Flaw,6.23,Needs Revision
297,Health,Arunachal Pradesh,79.56,1,24.1,31.8,3.78,True,Approved,Environmental Non-Compliance; Technical Flaw; Timeline Unrealistic,5.91,Needs Revision
298,Power,Mizoram,74.77,10,26.0,26.3,18.13,False,Approved,None,7.27,Good
299,Education,Sikkim,82.54,2,38.8,44.7,0.0,True,Approved,Environmental Non-Compliance,8.02,Good
300,Power,Meghalaya,25.73,2,33.6,32.0,28.11,False,Approved,Environmental Non-Compliance; Budget Miscalculation,9.76,Good
301,Road,Manipur,36.11,3,34.6,42.6,2.34,True,Revised,Technical Flaw,8.68,Good
302,Education,Tripura,22.48,10,13.6,11.9,0.0,False,Approved,Timeline Unrealistic; Environmental Non-Compliance; Budget Miscalculation,7.45,Good
303,Tourism,Sikkim,95.85,5,41.1,41.8,0.0,False,Approved,Budget Miscalculation; Technical Flaw; Environmental Non-Compliance,6.37,Needs Revision
304,Education,Mizoram,40.42,1,40.6,42.4,0.0,False,Revised,Environmental Non-Compliance,7.2,Good
305,Power,Tripura,28.16,1,30.1,34.1,2.95,True,Revised,Environmental Non-Compliance; Technical Flaw; Budget Miscalculation,5.41,Needs Revision
306,Tourism,Nagaland,14.11,10,38.9,37.1,0.0,False,Approved,Timeline Unrealistic; Technical Flaw,4.79,Poor
307,Power,Manipur,88.82,5,18.9,21.9,20.86,True,Approved,None,4.95,Poor
308,Road,Assam,66.51,3,20.1,27.9,0.0,True,Revised,Technical Flaw; Environmental Non-Compliance,6.01,Needs Revision
309,Road,Arunachal Pradesh,92.76,2,7.7,11.3,19.64,True,Approved,Environmental Non-Compliance; Budget Miscalculation; Technical Flaw,4.71,Poor
310,Education,Meghalaya,97.41,1,8.6,7.5,42.46,False,Approved,Timeline Unrealistic; Environmental Non-Compliance,5.47,Needs Revision
311,Road,Tripura,26.68,5,9.8,14.1,0.0,True,Approved,Budget Miscalculation; Timeline Unrealistic,8.11,Good
312,Education,Mizoram,73.03,3,35.1,42.2,10.81,True,Revised,None,6.44,Needs Revision
313,Power,Mizoram,82.91,10,22.5,22.3,9.67,False,Revised,Environmental Non-Compliance; Technical Flaw; Budget Miscalculation,5.08,Needs Revision
314,Health,Sikkim,79.26,3,34.3,44.3,19.85,True,Approved,Timeline Unrealistic,4.88,Poor
315,Power,Sikkim,98.85,2,13.1,15.6,38.08,False,Revised,Budget Miscalculation; Technical Flaw; Timeline Unrealistic,7.17,Good
316,Road,Tripura,85.21,10,7.0,7.1,13.95,True,Approved,Technical Flaw; Budget Miscalculation,9.77,Good
317,Road,Sikkim,21.82,1,39.2,47.1,38.37,True,Approved,Technical Flaw; Environmental Non-Compliance,5.02,Needs Revision
318,Power,Assam,68.57,3,6.1,8.5,7.17,True,Revised,None,5.66,Needs Revision
319,Education,Nagaland,13.08,1,7.9,14.0,25.6,True,Approved,Timeline Unrealistic; Technical Flaw; Budget Miscalculation,4.55,Poor
320,Health,Sikkim,63.51,0,34.3,37.9,36.94,False,Approved,Timeline Unrealistic; Environmental Non-Compliance,5.31,Needs Revision
321,Education,Arunachal Pradesh,55.12,5,31.2,30.2,45.86,False,Rejected,Timeline Unrealistic; Budget Miscalculation; Technical Flaw,8.46,Good
322,Road,Tripura,67.96,3,31.8,30.4,12.68,False,Revised,None,6.99,Needs Revision
323,Health,Tripura,90.37,10,11.3,15.8,0.0,False,Approved,Technical Flaw; Timeline Unrealistic; Budget Miscalculation,9.82,Good
324,Tourism,Nagaland,12.7,0,6.6,6.5,41.58,True,Revised,None,7.15,Good
325,Road,Sikkim,38.62,5,47.5,58.4,0.0,True,Approved,Environmental Non-Compliance; Budget Miscalculation; Technical Flaw,10.0,Good
326,Power,Tripura,99.56,10,25.5,32.0,23.82,True,Revised,Environmental Non-Compliance; Technical Flaw; Timeline Unrealistic,8.29,Good
327,Tourism,Meghalaya,69.65,5,16.8,15.4,21.3,False,Rejected,None,6.19,Needs Revision
328,Education,Nagaland,24.02,3,29.1,34.9,14.11,True,Rejected,Environmental Non-Compliance; Budget Miscalculation; Technical Flaw,7.63,Good
329,Tourism,Arunachal Pradesh,30.27,2,7.7,9.4,34.47,True,Approved,None,8.53,Good
330,Tourism,Sikkim,47.15,0,35.4,37.1,25.3,False,Rejected,Environmental Non-Compliance; Timeline Unrealistic; Technical Flaw,9.23,Good
331,Health,Nagaland,63.18,0,34.4,44.8,27.75,True,Approved,Technical Flaw; Environmental Non-Compliance,9.21,Good
332,Road,Meghalaya,17.44,2,33.6,41.2,22.59,True,Approved,Technical Flaw; Environmental Non-Compliance; Timeline Unrealistic,6.41,Needs Revision
333,Health,Arunachal Pradesh,7.08,0,45.5,55.9,71.59,True,Approved,None,6.06,Needs Revision
334,Education,Meghalaya,17.1,0,32.0,39.0,16.12,True,Approved,Technical Flaw; Environmental Non-Compliance; Timeline Unrealistic,7.33,Good
335,Tourism,Tripura,90.89,1,13.2,13.8,41.88,False,Approved,Budget Miscalculation; Timeline Unrealistic,7.27,Good
336,Tourism,Arunachal Pradesh,63.38,10,21.1,21.4,9.76,False,Revised,Technical Flaw,7.94,Good
337,Tourism,Mizoram,42.84,10,45.3,50.0,24.06,False,Approved,None,9.1,Good
338,Education,Sikkim,61.43,5,10.9,14.3,0.0,True,Rejected,Environmental Non-Compliance,9.23,Good
339,Power,Meghalaya,35.96,5,8.9,10.1,0.0,False,Approved,None,9.38,Good
340,Health,Manipur,62.94,0,6.9,6.9,61.86,False,Revised,Technical Flaw; Budget Miscalculation,8.07,Good
341,Tourism,Manipur,74.49,5,22.2,28.3,0.0,True,Approved,Budget Miscalculation; Environmental Non-Compliance; Timeline Unrealistic,5.24,Needs Revision
342,Education,Manipur,8.04,5,47.8,56.1,0.0,True,Revised,Timeline Unrealistic; Budget Miscalculation,9.46,Good
343,Health,Assam,33.71,10,25.1,28.7,46.85,False,Rejected,Environmental Non-Compliance,10.0,Good
344,Tourism,Assam,15.11,5,9.8,9.0,0.0,False,Approved,Environmental Non-Compliance; Budget Miscalculation; Technical Flaw,6.57,Needs Revision
345,Road,Meghalaya,18.53,1,7.7,6.5,41.24,False,Approved,None,8.88,Good
346,Education,Arunachal Pradesh,33.87,3,9.1,14.3,0.0,True,Revised,None,9.15,Good
347,Road,Assam,41.56,10,13.6,14.5,16.71,False,Approved,Budget Miscalculation; Environmental Non-Compliance,9.41,Good
348,Power,Manipur,14.86,2,25.3,23.7,30.93,False,Approved,Timeline Unrealistic; Environmental Non-Compliance,4.14,Poor
349,Education,Arunachal Pradesh,90.8,0,23.2,26.1,22.71,False,Approved,None,5.92,Needs Revision
350,Tourism,Mizoram,23.24,2,40.8,39.1,0.0,False,Approved,Environmental Non-Compliance; Timeline Unrealistic,6.59,Needs Revision
351,Education,Mizoram,44.61,3,17.0,17.0,29.96,False,Approved,Environmental Non-Compliance,8.63,Good
352,Power,Tripura,13.73,5,25.8,27.7,0.0,False,Approved,None,5.25,Needs Revision
353,Health,Nagaland,58.13,0,19.3,19.3,60.63,False,Approved,Technical Flaw,5.38,Needs Revision
354,Power,Arunachal Pradesh,44.16,5,30.7,35.4,30.77,True,Approved,Technical Flaw,4.31,Poor
355,Health,Sikkim,86.48,5,39.5,51.7,1.01,True,Approved,Technical Flaw; Budget Miscalculation; Environmental Non-Compliance,8.51,Good
356,Power,Mizoram,72.3,0,42.9,55.8,0.0,True,Approved,Timeline Unrealistic; Environmental Non-Compliance,9.52,Good
357,Health,Mizoram,24.67,0,37.9,50.3,30.8,True,Approved,Technical Flaw; Timeline Unrealistic,8.81,Good
358,Road,Sikkim,96.6,3,8.3,9.3,0.0,False,Approved,Budget Miscalculation; Technical Flaw,5.37,Needs Revision
359,Health,Tripura,63.97,10,23.0,31.1,0.0,True,Revised,Technical Flaw; Environmental Non-Compliance; Budget Miscalculation,9.7,Good
360,Road,Manipur,95.67,10,20.2,19.0,0.0,False,Approved,Budget Miscalculation; Environmental Non-Compliance; Timeline Unrealistic,7.75,Good
361,Tourism,Arunachal Pradesh,76.7,0,44.3,44.6,0.0,False,Approved,Budget Miscalculation,5.84,Needs Revision
362,Health,Manipur,18.54,5,11.8,15.0,16.44,False,Revised,Timeline Unrealistic; Budget Miscalculation; Environmental Non-Compliance,8.91,Good
363,Education,Sikkim,9.11,10,16.6,22.9,8.44,True,Approved,Environmental Non-Compliance,8.97,Good
364,Road,Arunachal Pradesh,40.78,5,27.5,31.3,23.04,False,Rejected,Technical Flaw,8.44,Good
365,Road,Meghalaya,72.81,1,23.1,25.9,3.54,False,Approved,Budget Miscalculation; Environmental Non-Compliance; Technical Flaw,10.0,Good
366,Education,Tripura,99.55,3,28.9,35.0,18.46,True,Approved,Environmental Non-Compliance,7.53,Good
367,Tourism,Nagaland,47.93,5,33.9,37.3,20.76,False,Approved,Budget Miscalculation; Timeline Unrealistic; Technical Flaw,6.75,Needs Revision
368,Power,Sikkim,75.46,5,33.8,33.6,15.58,False,Approved,Timeline Unrealistic; Environmental Non-Compliance,7.25,Good
369,Power,Assam,55.83,10,41.4,48.2,8.39,True,Rejected,None,4.99,Poor
370,Power,Manipur,38.11,0,36.2,48.4,0.0,True,Approved,Budget Miscalculation; Timeline Unrealistic,4.42,Poor
371,Power,Nagaland,34.78,5,34.8,37.5,43.87,False,Approved,Technical Flaw,7.07,Good
372,Power,Assam,88.76,0,42.0,42.4,0.0,False,Approved,Budget Miscalculation; Technical Flaw; Timeline Unrealistic,9.36,Good
373,Tourism,Nagaland,99.2,10,16.1,18.7,0.0,True,Approved,Budget Miscalculation; Environmental Non-Compliance,6.76,Needs Revision
374,Health,Nagaland,49.8,0,28.6,33.5,25.45,False,Approved,Technical Flaw; Environmental Non-Compliance,9.74,Good
375,Tourism,Assam,7.98,2,38.0,36.8,0.0,False,Approved,None,4.87,Poor
376,Power,Tripura,12.44,3,45.3,44.7,40.98,False,Approved,Timeline Unrealistic; Budget Miscalculation,6.42,Needs Revision
377,Tourism,Arunachal Pradesh,17.59,5,24.8,27.4,32.74,False,Approved,Budget Miscalculation,5.41,Needs Revision
378,Power,Mizoram,95.61,3,46.7,45.5,34.98,False,Rejected,Technical Flaw,7.53,Good
379,Education,Arunachal Pradesh,77.03,2,14.1,18.5,0.0,False,Revised,Technical Flaw; Budget Miscalculation; Environmental Non-Compliance,4.8,Poor
380,Health,Tripura,92.7,1,12.2,13.6,61.08,True,Approved,Technical Flaw; Budget Miscalculation,8.32,Good
381,Road,Tripura,36.89,2,35.9,37.2,0.0,False,Approved,Environmental Non-Compliance,5.38,Needs Revision
382,Power,Assam,85.51,0,31.6,36.5,0.0,True,Approved,Timeline Unrealistic; Environmental Non-Compliance; Technical Flaw,9.89,Good
383,Road,Meghalaya,13.2,0,20.4,26.6,0.0,True,Rejected,None,5.76,Needs Revision
384,Road,Arunachal Pradesh,73.16,3,44.5,44.9,18.6,False,Revised,Environmental Non-Compliance; Budget Miscalculation; Timeline Unrealistic,4.69,Poor
385,Tourism,Sikkim,22.44,2,9.7,14.0,34.57,True,Revised,Timeline Unrealistic; Technical Flaw,7.43,Good
386,Health,Assam,31.91,2,24.2,28.8,18.16,False,Approved,Timeline Unrealistic,6.53,Needs Revision
387,Power,Nagaland,67.7,1,30.5,39.2,46.44,True,Approved,Timeline Unrealistic,7.25,Good
388,Health,Sikkim,11.51,3,36.0,40.3,21.36,False,Approved,None,8.06,Good
389,Health,Tripura,4.89,0,21.0,28.4,29.08,True,Revised,Budget Miscalculation,8.23,Good
390,Tourism,Arunachal Pradesh,93.74,10,8.9,14.4,5.97,True,Approved,Budget Miscalculation; Environmental Non-Compliance,9.6,Good
391,Tourism,Mizoram,9.73,2,34.6,37.8,0.0,False,Rejected,None,5.77,Needs Revision
392,Education,Assam,56.41,1,34.0,38.5,71.48,False,Approved,Timeline Unrealistic,8.64,Good
393,Tourism,Assam,56.88,3,13.3,15.4,35.59,False,Approved,Technical Flaw; Timeline Unrealistic; Environmental Non-Compliance,5.39,Needs Revision
394,Tourism,Sikkim,3.45,3,26.6,26.0,16.72,False,Revised,Timeline Unrealistic; Environmental Non-Compliance; Budget Miscalculation,6.63,Needs Revision
395,Power,Mizoram,80.71,3,20.6,20.9,46.13,False,Rejected,Technical Flaw,9.52,Good
396,Road,Manipur,74.33,2,9.6,9.2,25.9,False,Approved,Timeline Unrealistic; Technical Flaw,9.4,Good
397,Tourism,Arunachal Pradesh,50.99,3,21.9,22.7,23.31,False,Approved,Technical Flaw; Environmental Non-Compliance,7.54,Good
398,Power,Arunachal Pradesh,10.96,5,7.7,8.0,28.88,False,Approved,None,6.48,Needs Revision
399,Power,Arunachal Pradesh,56.9,0,31.2,32.4,21.39,False,Approved,Budget Miscalculation; Technical Flaw,6.19,Needs Revision
400,Education,Assam,49.08,0,29.0,35.0,0.0,True,Approved,Budget Miscalculation; Technical Flaw; Environmental Non-Compliance,8.76,Good
401,Health,Meghalaya,53.75,5,31.3,35.9,0.0,False,Approved,Budget Miscalculation; Technical Flaw; Environmental Non-Compliance,9.08,Good
402,Education,Mizoram,20.0,3,32.2,38.0,0.0,True,Revised,Environmental Non-Compliance; Budget Miscalculation; Timeline Unrealistic,7.85,Good
403,Road,Meghalaya,23.35,1,45.7,55.9,33.77,True,Revised,None,6.17,Needs Revision
404,Education,Arunachal Pradesh,4.41,3,22.0,22.9,1.87,False,Approved,Environmental Non-Compliance; Budget Miscalculation; Timeline Unrealistic,9.88,Good
405,Power,Mizoram,67.99,10,10.2,14.6,31.43,True,Revised,Technical Flaw; Budget Miscalculation,5.75,Needs Revision
406,Education,Manipur,24.98,1,18.8,23.6,48.21,False,Approved,Environmental Non-Compliance; Technical Flaw; Timeline Unrealistic,9.34,Good
407,Tourism,Nagaland,22.66,1,37.8,48.5,45.62,True,Approved,Timeline Unrealistic; Environmental Non-Compliance; Budget Miscalculation,6.96,Needs Revision
408,Power,Assam,40.6,2,42.4,51.2,33.7,True,Rejected,Environmental Non-Compliance; Technical Flaw; Timeline Unrealistic,7.71,Good
409,Road,Tripura,13.97,10,7.6,9.1,48.95,False,Revised,Technical Flaw; Timeline Unrealistic; Budget Miscalculation,8.37,Good
410,Health,Nagaland,96.7,10,34.9,33.7,49.84,False,Approved,Budget Miscalculation; Environmental Non-Compliance; Technical Flaw,9.44,Good
411,Health,Tripura,51.75,0,25.7,29.8,22.87,True,Approved,Technical Flaw; Environmental Non-Compliance; Budget Miscalculation,5.62,Needs Revision
412,Health,Manipur,94.05,5,6.3,8.7,16.46,True,Approved,Environmental Non-Compliance; Budget Miscalculation,5.05,Needs Revision
413,Education,Nagaland,4.9,0,8.0,10.5,0.0,True,Revised,Budget Miscalculation; Environmental Non-Compliance,7.4,Good
414,Road,Nagaland,43.85,0,47.4,61.3,0.0,True,Rejected,Technical Flaw; Environmental Non-Compliance,9.99,Good
415,Health,Nagaland,28.59,3,17.0,20.8,16.22,False,Rejected,None,6.5,Needs Revision
416,Road,Sikkim,36.42,5,16.9,25.0,4.35,True,Revised,Environmental Non-Compliance; Timeline Unrealistic,9.64,Good
417,Power,Manipur,94.89,10,12.8,15.1,26.88,True,Approved,Environmental Non-Compliance; Technical Flaw; Budget Miscalculation,10.0,Good
418,Tourism,Sikkim,53.8,3,10.1,10.5,0.0,True,Revised,None,8.44,Good
419,Road,Manipur,61.52,0,41.8,40.0,1.02,False,Approved,Environmental Non-Compliance; Timeline Unrealistic; Budget Miscalculation,7.77,Good
420,Health,Meghalaya,24.59,0,37.5,44.3,0.0,True,Approved,Budget Miscalculation,7.55,Good
421,Road,Mizoram,25.17,10,44.9,53.7,19.44,True,Approved,None,9.87,Good
422,Health,Nagaland,89.66,3,19.6,23.3,8.03,True,Approved,None,9.38,Good
423,Road,Sikkim,49.61,5,35.9,37.5,0.0,False,Rejected,Timeline Unrealistic; Budget Miscalculation,5.7,Needs Revision
424,Tourism,Meghalaya,38.71,1,8.7,14.3,55.47,True,Approved,Technical Flaw,5.5,Needs Revision
425,Power,Manipur,8.19,3,26.3,35.7,0.0,True,Approved,Timeline Unrealistic; Technical Flaw; Environmental Non-Compliance,6.51,Needs Revision
426,Tourism,Mizoram,37.3,10,47.0,54.9,40.01,True,Approved,Timeline Unrealistic; Environmental Non-Compliance,4.74,Poor
427,Education,Manipur,64.8,3,19.1,17.2,0.0,False,Approved,Environmental Non-Compliance; Budget Miscalculation; Timeline Unrealistic,8.92,Good
428,Tourism,Manipur,81.79,3,36.5,46.5,49.37,True,Approved,Technical Flaw; Timeline Unrealistic; Budget Miscalculation,8.92,Good
429,Education,Manipur,47.97,5,27.8,30.8,8.71,False,Approved,Environmental Non-Compliance; Technical Flaw,6.02,Needs Revision
430,Health,Assam,6.22,0,29.3,34.3,0.0,True,Approved,Budget Miscalculation,9.43,Good
431,Health,Assam,83.6,5,38.1,37.9,0.0,False,Revised,Timeline Unrealistic,7.41,Good
432,Power,Manipur,69.47,1,15.3,19.7,0.0,True,Approved,None,8.24,Good
433,Education,Meghalaya,62.98,2,19.3,23.6,10.99,False,Approved,None,9.32,Good
434,Tourism,Assam,93.3,10,32.8,39.4,49.88,True,Revised,None,8.82,Good
435,Power,Manipur,10.09,1,42.9,54.9,40.44,True,Rejected,Environmental Non-Compliance; Budget Miscalculation; Technical Flaw,4.63,Poor
436,Education,Tripura,82.68,0,23.9,24.1,69.64,False,Approved,None,6.57,Needs Revision
437,Power,Mizoram,75.21,1,36.0,42.1,0.0,True,Approved,None,9.59,Good
438,Tourism,Mizoram,87.07,2,40.5,44.4,0.0,False,Revised,Environmental Non-Compliance; Timeline Unrealistic; Technical Flaw,5.59,Needs Revision
439,Tourism,Nagaland,82.23,3,27.6,29.7,31.59,False,Approved,Technical Flaw,9.63,Good
440,Education,Nagaland,94.83,0,41.3,51.6,0.0,True,Revised,None,8.05,Good
441,Power,Mizoram,73.79,2,41.2,44.0,34.35,False,Approved,Timeline Unrealistic,8.92,Good
442,Power,Arunachal Pradesh,19.23,10,19.8,18.3,16.12,False,Approved,Timeline Unrealistic,7.08,Good
443,Health,Assam,2.9,2,46.2,45.4,0.0,False,Rejected,Budget Miscalculation; Timeline Unrealistic,6.98,Needs Revision
444,Road,Tripura,15.28,2,47.0,59.7,0.0,True,Approved,Environmental Non-Compliance; Budget Miscalculation,6.18,Needs Revision
445,Power,Manipur,91.25,5,23.0,28.1,14.61,True,Approved,Budget Miscalculation; Environmental Non-Compliance,6.05,Needs Revision
446,Education,Tripura,66.0,0,31.8,40.9,0.0,True,Approved,None,9.24,Good
447,Road,Tripura,42.87,0,10.5,14.4,33.93,False,Approved,Timeline Unrealistic; Environmental Non-Compliance; Budget Miscalculation,6.34,Needs Revision
448,Power,Mizoram,22.61,3,32.4,40.1,0.0,True,Revised,Environmental Non-Compliance; Technical Flaw,10.0,Good
449,Health,Tripura,67.76,2,34.8,46.0,0.0,True,Approved,None,9.24,Good
450,Education,Sikkim,22.56,3,19.0,18.3,46.81,False,Revised,None,4.52,Poor
451,Road,Mizoram,63.68,10,20.7,20.8,39.57,False,Approved,None,9.93,Good
452,Power,Nagaland,18.22,10,6.7,11.7,13.48,False,Approved,Technical Flaw; Budget Miscalculation; Environmental Non-Compliance,9.88,Good
453,Health,Arunachal Pradesh,79.72,10,47.5,49.2,3.09,False,Approved,None,5.96,Needs Revision
454,Power,Nagaland,42.47,3,23.5,27.2,0.0,False,Approved,None,4.93,Poor
455,Power,Tripura,50.18,10,26.3,31.2,0.0,False,Approved,Timeline Unrealistic,5.02,Needs Revision
456,Tourism,Mizoram,4.41,0,40.3,52.5,59.73,True,Approved,Budget Miscalculation,6.53,Needs Revision
457,Health,Nagaland,64.73,5,15.9,16.2,0.0,False,Approved,None,9.43,Good
458,Education,Manipur,76.47,2,6.4,7.5,0.0,False,Approved,Technical Flaw,8.69,Good
459,Tourism,Assam,24.07,1,13.5,18.2,33.01,True,Approved,Environmental Non-Compliance; Timeline Unrealistic,6.81,Needs Revision
460,Power,Mizoram,63.05,5,47.8,52.2,24.29,False,Revised,Timeline Unrealistic,8.63,Good
